R. Bertrand,85
Renato Augusto,86
Jardel,87
V. Denisov,75
D. Basta,72
G. Cabral,81
G. Paletta,80
T. Walcott,68
L. Fabiański,83
B. Foster,90
V. Ibišević,82
K. El Ahmadi,78
S. Kalou,77
Manuel Fernandes,75
A. Granqvist,84
L. Podolski,83
Javi Fuego,75
F. Belluschi,78
A. Mirante,79
V. Enyeama,87
F. Marchetti,83
Kaká,83
J. Milner,70
A. Hutchinson,83
M. Topal,82
J. Mathieu,84
C. Kameni,86
P. Jagielka,87
J. Defoe,65
Júlio César,79
M. Carrick,74
M. Almirón,63
Oyarzabal,78
Soares,82
M. Campaña,86
F. Andone,78
M. Acuña,69
V. Lindelöf,80
Y. Cardinale,84
C. Lenglet,81
M. Dahoud,69
D. Zappacosta,70
N. Maksimović,82
E. Rigoni,74
I. Marcone,83
K. Coman,71
S. Kritsyuk,85
W. Cyprien,75
Diego Llorente,75
Anderson Talisca,80
L. Dendoncker,88
M. Meyer,68
Gayà,66
S. Boufal,60
M. Benassi,80
N. Tagliafico,67
E. Hysaj,70
João Cancelo,74
A. Romagnoli,75
Óliver Torres,63
H. Çalhanoğlu,76
B. Traoré,73
L. Vietto,70
M. Arnold,74
S. Gnabry,75
L. Shaw,75
B. Davies,76
E. Višća,63
Bernard,60
D. Baselli,70
A. Milik,78
Bernat,67
W. Orban,82
Rubén Pardo,69
K. Zouma,96
C. Kramer,76
Zé Luís,87
J. Stones,75
Fernando,80
M. Depay,78
F. Fernández,83
S. Sané,85
N. Sansone,68
P. Ntep,75
J. Murillo,78
Gabriel Paulista,79
V. Darida,64
Cédric,67
L. Tonelli,78
R. Saponara,73
D. Sidibé,71
Y. Konoplyanka,78
L. Digne,74
Paco Alcácer,71
Vicente Gómez,78
E. Çolak,65
N. Jørgensen,83
J. Guidetti,79
Oriol Romeu,83
Nolito,72
B. Martins Indi,76
M. Gabbiadini,81
P. Herrmann,70
F. Lejeune,89
J. Bruma,88
Adrián,80
Keko,68
H. Pérez,71
Jaume Costa,62
Escudero,72
Y. Mallı,72
S. Corchia,67
J. Kucka,84
J. Zoet,88
A. Ljajić,74
Canales,74
M. Hitz,84
Balenziaga,76
W. Bony,88
Muniain,63
B. Hübner,86
F. Coquelin,74
Jonathas,81
G. Bou,75
V. Babacan,86
S. Doumbia,71
C. Noboa,75
I. Smolnikov,70
Maurício,82
M. Fabián,65
R. Zieler,83
D. Drinkwater,70
A. Kolarov,83
Mariano,69
S. Feghouli,75
K. Papadopoulos,87
S. Wagner,92
P. Piatti,63
C. Yacob,73
A. Ogbonna,86
Roberto,93
N. Amrabat,84
W. Vainqueur,73
Marcelo,85
Antunes,69
Fabricio,67
